,0,1,2,3,4,5,6
161,2455,XTRA,https://xtravision.ai/,N,xtravision-ai/repositories/0,10,Y
162,2568,MajorBoost,https://www.majorboost.com/,N,majorboost/repositories/0,10,Y
163,123,Alan AI,https://alan.app,N,alan-ai/repositories/0,9,N
164,359,FounderNest,https://www.foundernest.com,N,foundernest/repositories/0,9,N
165,415,TopHap,https://www.tophap.com/,N,tophap/repositories/0,9,Y
166,509,Big Room,https://www.bigroom.tv/,N,BigRoom/repositories/0,9,N
167,1284,Explain.Care Inc.,https://www.explain.care,N,explainDev/repositories/0,9,N
168,1385,Eleos Health,https://www.eleos.health/,N,eleos-health//repositories/0,9,N
169,1420,Graviti,https://www.graviti.com/,N,Graviti-AI//repositories/0,9,Y
170,1763,PureSkill.gg,http://pureskill.gg/,N,pureskillgg/repositories/0,9,Y
171,2329,Brainome,http://www.brainome.ai/,N,brainome/repositories/0,9,Y
172,2356,Arize AI,https://arize.com,N,Arize-ai//repositories/0,9,N
173,2370,OtterTune,https://ottertune.com,N,ottertune/repositories/0,9,Y
174,2425,Greyscale AI,https://www.greyscaleai.com/,N,greyscaleai521//repositories/0,9,Y
175,2486,InfinStor,https://infinstor.com,N,infinstor//repositories/0,9,Y
176,2619,Metrolla,https://metrolla.com,N,Metrolla-Inc/repositories/0,9,Y
177,2803,Strio.AI,http://strio.ai/,N,Strio-DAO/repositories/0,9,N
178,49,Third Wave Automation,https://www.thirdwave.ai/,N,thirdwave-ai/repositories/0,8,N
179,358,Chronicle,https://chronicle.security/,N,Chronicle/repositories/0,8,Y
180,589,Harbor.ai,https://harbor.ai,N,harbor-ai/repositories/0,8,N
181,685,Yoyo Labs,https://www.yoyolabs.io,N,yoyolabsio/repositories/0,8,Y
182,785,MetaDoc,https://metadoc.ai,N,Metadoc/repositories/0,8,N
183,1003,AnChain.ai,https://www.AnChain.ai,N,AnChainAI/repositories/0,8,Y
184,1112,MeetKai,http://www.meetkai.com,N,MeetKai/repositories/0,8,N
185,1137,DataFleets,http://www.datafleets.com,N,datafleets/repositories/0,8,N
186,1193,Galliot,https://galliot.us/,N,galliot-us//repositories/0,8,Y
187,1221,Verdant,http://verdant.ai,N,VerdantAI/repositories/0,8,Y
188,1416,Sensible Weather,https://www.sensibleweather.com,N,SensibleWeather/repositories/0,8,N
189,1445,Tradeswell,https://www.tradeswell.com,N,Tradeswell//repositories/0,8,N
190,1461,Kraftful,https://www.kraftful.com/,N,kraftful/repositories/0,8,Y
191,1470,Sewer AI,http://www.sewerai.com,N,sewerai-org//repositories/0,8,N
192,1722,Alectio,https://www.alectio.com,N,alectio/repositories/0,8,Y
193,2055,Qimia Inc,https://www.qimia.io,N,qimia/repositories/0,8,N
194,2341,Centrol.io,https://www.centrol.io,N,centrol-io//repositories/0,8,N
195,2556,Pluto Biosciences,https://pluto.bio,N,pluto-biosciences//repositories/0,8,Y
196,2561,Kanari AI,https://kanari.ai/,N,kanari-com//repositories/0,8,N
197,2599,Hakimo,https://hakimo.ai/,N,hakimo-ai//repositories/0,8,N
198,2701,Pibit.ai,https://pibit.ai/,N,pibit-ai/repositories/0,8,Y
199,12,Pixis,https://pixis.ai/,N,pixisai/repositories/0,7,N
200,51,Proton.ai,https://www.proton.ai,N,ProtonNetwork//repositories/0,7,N
201,58,Amira Learning,https://www.amiralearning.com/,N,AmiraLearning/repositories/0,7,N
