172,Brainome,http://www.brainome.ai/,N,brainome,9,Y
173,Arize AI,https://arize.com,N,Arize-ai,9,N
174,OtterTune,https://ottertune.com,N,ottertune,9,Y
175,Greyscale AI,https://www.greyscaleai.com/,N,greyscaleai521,9,Y
176,InfinStor,https://infinstor.com,N,infinstor,9,Y
177,Metrolla,https://metrolla.com,N,Metrolla-Inc,9,Y
178,Strio.AI,http://strio.ai/,N,Strio-DAO,9,N
179,Third Wave Automation,https://www.thirdwave.ai/,N,thirdwave-ai,8,N
180,Chronicle,https://chronicle.security/,N,Chronicle,8,Y
181,Harbor.ai,https://harbor.ai,N,harbor-ai,8,N
182,Yoyo Labs,https://www.yoyolabs.io,N,yoyolabsio,8,Y
183,MetaDoc,https://metadoc.ai,N,Metadoc,8,N
184,AnChain.ai,https://www.AnChain.ai,N,AnChainAI,8,Y
185,MeetKai,http://www.meetkai.com,N,MeetKai,8,N
186,DataFleets,http://www.datafleets.com,N,datafleets,8,N
187,Galliot,https://galliot.us/,N,galliot-us,8,Y
188,Verdant,http://verdant.ai,N,VerdantAI,8,Y
189,Sensible Weather,https://www.sensibleweather.com,N,SensibleWeather,8,N
190,Tradeswell,https://www.tradeswell.com,N,Tradeswell,8,N
191,Kraftful,https://www.kraftful.com/,N,kraftful,8,Y
192,Sewer AI,http://www.sewerai.com,N,sewerai-org,8,N
193,Alectio,https://www.alectio.com,N,alectio,8,Y
194,Qimia Inc,https://www.qimia.io,N,qimia,8,N
195,Centrol.io,https://www.centrol.io,N,centrol-io,8,N
196,Pluto Biosciences,https://pluto.bio,N,pluto-biosciences,8,Y
197,Kanari AI,https://kanari.ai/,N,kanari-com,8,N
198,Hakimo,https://hakimo.ai/,N,hakimo-ai,8,N
199,Pibit.ai,https://pibit.ai/,N,pibit-ai,8,Y
200,Pixis,https://pixis.ai/,N,pixisai,7,N
201,Proton.ai,https://www.proton.ai,N,ProtonNetwork,7,N
202,Amira Learning,https://www.amiralearning.com/,N,AmiraLearning,7,N
203,Augmented Radar Imaging,https://augmentedradar.com/#,N,augmentedradar,7,N
204,Watermark,https://www.watermarkinsights.com,N,WatermarkInsights,7,Y
205,Ardius,http://www.ardius.com,N,ardiustech,7,Y
206,Engine ML,https://www.engineml.com/,N,EngineML,7,N
207,Pyxis,https://pixis.ai/,N,pixisai,7,N
208,Carbonado Technologies Inc,https://carbonado.tech/,N,Carbonado,7,N
209,Diffgram,https://diffgram.com/,N,diffgram,7,Y
210,Striveworks,https://striveworks.com,N,Striveworks,7,Y
211,Abacus.AI,https://abacus.ai/,N,abacusai,7,Y
212,Datasaur,https://www.datasaur.ai,N,datasaur-ai,7,N
213,1build,https://www.1build.com/,N,1build,7,Y
214,Advocat,https://www.advocat.ai/,N,advocat-ai,7,N
215,Factored,https://www.factored.ai/,N,factoredai,7,N
216,NLMatics,https://www.nlmatics.com,N,nlmatics,7,Y
217,Flet.ai,https://www.flet.ai,N,flet-dev,7,N
218,ALO,https://alo.ai,N,alo-ai,7,Y
219,Personal AI,https://personal.ai,N,personal-ai,7,Y
220,Gridware,https://gridware.io,N,gridware,7,N
221,Cameralyze,https://www.cameralyze.co,N,cameralyze,7,N
222,Merlin Mobility,https://www.drivemerlin.com/,N,DriveMerlin,7,N
223,Voxie,https://www.voxie.com/,N,voxie,6,Y
224,FoxyAI,https://www.foxyai.com/,N,foxyai,6,N
225,Qokka,https://qokka.ai,N,Qokka,6,Y
226,Autonom8,https://autonom8.com,N,Autonom8,6,N
